id,price,brand,year,title_status,mileage,color,state,region,country
1597,33500,ford,2019,clean vehicle,6140,silver,oklahoma,South,usa
1598,24400,ford,2019,clean vehicle,25552,gray,virginia,South,usa
1599,13000,ford,2016,clean vehicle,54984,black,west virginia,South,usa
1600,48400,ford,2019,clean vehicle,24783,black,virginia,South,usa
1601,26500,ford,2014,clean vehicle,148442,silver,west virginia,South,usa
1602,46200,ford,2019,clean vehicle,34191,white,virginia,South,usa
1603,9300,ford,2013,clean vehicle,82072,silver,west virginia,South,usa
1604,13500,ford,2012,clean vehicle,104559,white,west virginia,South,usa
1605,27600,ford,2019,clean vehicle,13265,silver,virginia,South,usa
1606,7400,ford,2013,clean vehicle,133314,red,west virginia,South,usa
1607,26500,ford,2019,clean vehicle,22458,gray,virginia,South,usa
1608,26000,ford,2013,clean vehicle,70106,white,west virginia,South,usa
1609,24500,ford,2019,clean vehicle,23712,black,virginia,South,usa
1610,2100,ford,2012,clean vehicle,101848,red,west virginia,South,usa
1611,16700,ford,2019,clean vehicle,14994,black,virginia,South,usa
1612,17500,ford,2015,clean vehicle,59726,gray,missouri,Midwest,usa
1613,17000,ford,2019,clean vehicle,16448,gray,virginia,South,usa
1614,22500,ford,2015,clean vehicle,28801,black,oklahoma,South,usa
1615,34500,ford,2019,clean vehicle,28938,gray,michigan,Midwest,usa
1616,16600,ford,2019,clean vehicle,19022,black,virginia,South,usa
1617,7500,ford,2014,clean vehicle,93832,silver,missouri,Midwest,usa
1618,34500,ford,2019,clean vehicle,25046,white,michigan,Midwest,usa
1619,25000,ford,2019,clean vehicle,22318,black,virginia,South,usa
